time,id_probabilities1,id_probabilities2,id_probabilities3
83.760,1.000e+00,1.000e+00,1.000e+00
83.800,1.000e+00,1.000e+00,1.000e+00
83.840,1.000e+00,1.000e+00,1.000e+00
83.880,1.000e+00,1.000e+00,1.000e+00
83.920,1.000e+00,1.000e+00,1.000e+00
83.960,1.000e+00,1.000e+00,1.000e+00
84.000,1.000e+00,1.000e+00,1.000e+00
84.040,1.000e+00,1.000e+00,1.000e+00
84.080,1.000e+00,1.000e+00,1.000e+00
84.120,1.000e+00,1.000e+00,1.000e+00
84.160,1.000e+00,1.000e+00,1.000e+00
84.200,1.000e+00,1.000e+00,1.000e+00
84.240,1.000e+00,1.000e+00,1.000e+00
84.280,1.000e+00,1.000e+00,1.000e+00
84.320,1.000e+00,1.000e+00,1.000e+00
84.360,1.000e+00,1.000e+00,1.000e+00
84.400,1.000e+00,1.000e+00,1.000e+00
84.440,1.000e+00,1.000e+00,1.000e+00
84.480,1.000e+00,1.000e+00,1.000e+00
84.520,1.000e+00,1.000e+00,1.000e+00
84.560,1.000e+00,1.000e+00,1.000e+00
84.600,1.000e+00,1.000e+00,1.000e+00
84.640,1.000e+00,1.000e+00,1.000e+00
84.680,1.000e+00,1.000e+00,1.000e+00
84.720,1.000e+00,1.000e+00,1.000e+00
84.760,1.000e+00,1.000e+00,1.000e+00
84.800,1.000e+00,1.000e+00,1.000e+00
84.840,1.000e+00,1.000e+00,1.000e+00
84.880,1.000e+00,1.000e+00,1.000e+00
84.920,1.000e+00,1.000e+00,1.000e+00
84.960,1.000e+00,1.000e+00,1.000e+00
85.000,1.000e+00,1.000e+00,1.000e+00
85.040,1.000e+00,1.000e+00,1.000e+00
85.080,1.000e+00,1.000e+00,1.000e+00
85.120,1.000e+00,1.000e+00,1.000e+00
85.160,1.000e+00,1.000e+00,1.000e+00
85.200,1.000e+00,1.000e+00,1.000e+00
85.240,1.000e+00,1.000e+00,1.000e+00
85.280,1.000e+00,1.000e+00,1.000e+00
85.320,1.000e+00,1.000e+00,1.000e+00
85.360,1.000e+00,1.000e+00,1.000e+00
85.400,1.000e+00,1.000e+00,1.000e+00
85.440,1.000e+00,1.000e+00,1.000e+00
85.480,0.000e+00,1.000e+00,1.000e+00
85.520,1.000e+00,1.000e+00,1.000e+00
85.560,1.000e+00,1.000e+00,1.000e+00
85.600,1.000e+00,1.000e+00,1.000e+00
85.640,1.000e+00,1.000e+00,1.000e+00
85.680,1.000e+00,1.000e+00,1.000e+00
85.720,1.000e+00,1.000e+00,1.000e+00
85.760,1.000e+00,1.000e+00,1.000e+00
85.800,1.000e+00,1.000e+00,1.000e+00
85.840,1.000e+00,1.000e+00,1.000e+00
85.880,1.000e+00,1.000e+00,1.000e+00
85.920,1.000e+00,1.000e+00,1.000e+00
85.960,1.000e+00,1.000e+00,1.000e+00
86.000,1.000e+00,1.000e+00,1.000e+00
86.040,1.000e+00,1.000e+00,1.000e+00
86.080,1.000e+00,1.000e+00,1.000e+00
86.120,1.000e+00,1.000e+00,1.000e+00
86.160,1.000e+00,1.000e+00,1.000e+00
86.200,1.000e+00,1.000e+00,1.000e+00
86.240,1.000e+00,1.000e+00,1.000e+00
86.280,1.000e+00,1.000e+00,1.000e+00
86.320,1.000e+00,1.000e+00,1.000e+00
86.360,1.000e+00,1.000e+00,1.000e+00
86.400,1.000e+00,1.000e+00,1.000e+00
86.440,1.000e+00,1.000e+00,1.000e+00
86.480,1.000e+00,1.000e+00,1.000e+00
86.520,1.000e+00,1.000e+00,1.000e+00
86.560,1.000e+00,1.000e+00,1.000e+00
86.600,1.000e+00,1.000e+00,1.000e+00
86.640,1.000e+00,1.000e+00,1.000e+00
86.680,1.000e+00,1.000e+00,1.000e+00
86.720,1.000e+00,1.000e+00,1.000e+00
86.760,1.000e+00,1.000e+00,1.000e+00
86.800,1.000e+00,0.000e+00,1.000e+00
86.840,1.000e+00,0.000e+00,1.000e+00
86.880,1.000e+00,0.000e+00,1.000e+00
86.920,1.000e+00,0.000e+00,1.000e+00
86.960,1.000e+00,0.000e+00,1.000e+00
87.000,1.000e+00,0.000e+00,1.000e+00
87.040,0.000e+00,0.000e+00,1.000e+00
87.080,1.000e+00,0.000e+00,1.000e+00
87.120,0.000e+00,0.000e+00,1.000e+00
87.160,0.000e+00,0.000e+00,1.000e+00
87.200,0.000e+00,0.000e+00,1.000e+00
87.240,0.000e+00,0.000e+00,1.000e+00
87.280,0.000e+00,0.000e+00,1.000e+00
87.320,0.000e+00,0.000e+00,1.000e+00
87.360,0.000e+00,0.000e+00,1.000e+00
87.400,1.000e+00,0.000e+00,1.000e+00
87.440,1.000e+00,0.000e+00,1.000e+00
87.480,1.000e+00,0.000e+00,1.000e+00
87.520,1.000e+00,0.000e+00,1.000e+00
87.560,1.000e+00,0.000e+00,1.000e+00
87.600,1.000e+00,0.000e+00,1.000e+00
87.640,1.000e+00,0.000e+00,1.000e+00
87.680,1.000e+00,0.000e+00,1.000e+00
87.720,1.000e+00,0.000e+00,1.000e+00
87.760,1.000e+00,0.000e+00,1.000e+00
87.800,1.000e+00,0.000e+00,1.000e+00
87.840,1.000e+00,0.000e+00,1.000e+00
87.880,1.000e+00,0.000e+00,1.000e+00
87.920,1.000e+00,0.000e+00,1.000e+00
87.960,1.000e+00,0.000e+00,1.000e+00
88.000,1.000e+00,0.000e+00,1.000e+00
88.040,1.000e+00,0.000e+00,1.000e+00
88.080,1.000e+00,0.000e+00,1.000e+00
88.120,1.000e+00,0.000e+00,1.000e+00
88.160,1.000e+00,0.000e+00,1.000e+00
88.200,1.000e+00,0.000e+00,1.000e+00
88.240,1.000e+00,0.000e+00,1.000e+00
88.280,1.000e+00,0.000e+00,1.000e+00
88.320,1.000e+00,0.000e+00,1.000e+00
88.360,1.000e+00,0.000e+00,1.000e+00
88.400,1.000e+00,0.000e+00,1.000e+00
88.440,1.000e+00,1.000e+00,1.000e+00
88.480,1.000e+00,1.000e+00,1.000e+00
88.520,1.000e+00,1.000e+00,1.000e+00
88.560,1.000e+00,1.000e+00,1.000e+00
88.600,1.000e+00,1.000e+00,1.000e+00
88.640,1.000e+00,1.000e+00,1.000e+00
88.680,1.000e+00,1.000e+00,1.000e+00
88.720,1.000e+00,1.000e+00,1.000e+00
88.760,1.000e+00,1.000e+00,1.000e+00
88.800,1.000e+00,1.000e+00,1.000e+00
88.840,1.000e+00,1.000e+00,1.000e+00
88.880,1.000e+00,1.000e+00,1.000e+00
88.920,1.000e+00,1.000e+00,1.000e+00
88.960,1.000e+00,1.000e+00,1.000e+00
89.000,1.000e+00,1.000e+00,1.000e+00
89.040,1.000e+00,1.000e+00,1.000e+00
89.080,1.000e+00,1.000e+00,1.000e+00
89.120,1.000e+00,1.000e+00,1.000e+00
89.160,1.000e+00,1.000e+00,1.000e+00
89.200,1.000e+00,1.000e+00,1.000e+00
89.240,1.000e+00,1.000e+00,1.000e+00
89.280,1.000e+00,1.000e+00,1.000e+00
89.320,1.000e+00,1.000e+00,1.000e+00
89.360,1.000e+00,1.000e+00,1.000e+00
89.400,1.000e+00,1.000e+00,1.000e+00
89.440,1.000e+00,1.000e+00,1.000e+00
89.480,1.000e+00,1.000e+00,1.000e+00
89.520,1.000e+00,1.000e+00,1.000e+00
89.560,1.000e+00,1.000e+00,1.000e+00
89.600,1.000e+00,1.000e+00,1.000e+00
89.640,1.000e+00,1.000e+00,1.000e+00
89.680,1.000e+00,1.000e+00,1.000e+00
89.720,1.000e+00,1.000e+00,1.000e+00
89.760,1.000e+00,1.000e+00,1.000e+00
89.800,1.000e+00,1.000e+00,1.000e+00
89.840,1.000e+00,1.000e+00,1.000e+00
89.880,1.000e+00,1.000e+00,1.000e+00
89.920,1.000e+00,1.000e+00,1.000e+00
89.960,1.000e+00,1.000e+00,1.000e+00
90.000,1.000e+00,1.000e+00,1.000e+00
90.040,1.000e+00,1.000e+00,1.000e+00
90.080,1.000e+00,1.000e+00,1.000e+00
90.120,1.000e+00,1.000e+00,1.000e+00
90.160,1.000e+00,1.000e+00,1.000e+00
90.200,1.000e+00,1.000e+00,1.000e+00
90.240,1.000e+00,1.000e+00,1.000e+00
90.280,1.000e+00,1.000e+00,1.000e+00
90.320,1.000e+00,1.000e+00,1.000e+00
90.360,1.000e+00,1.000e+00,1.000e+00
90.400,1.000e+00,1.000e+00,1.000e+00
90.440,1.000e+00,1.000e+00,1.000e+00
90.480,1.000e+00,1.000e+00,1.000e+00
90.520,1.000e+00,1.000e+00,1.000e+00
90.560,1.000e+00,1.000e+00,1.000e+00
90.600,1.000e+00,1.000e+00,1.000e+00
90.640,1.000e+00,1.000e+00,1.000e+00
90.680,1.000e+00,1.000e+00,1.000e+00
90.720,1.000e+00,1.000e+00,1.000e+00
90.760,1.000e+00,1.000e+00,1.000e+00
90.800,1.000e+00,1.000e+00,1.000e+00
90.840,1.000e+00,1.000e+00,1.000e+00
